001	Ícones
002	Carregando componentes...
003	Rótulos
004	Entradas
005	Menus
006	Contêineres
007	Atualização automática
008	Carrossel
009	Efeitos
010	Feedback
011	Gráficos
012	Botões
013	Carregando
014	Configurações
015	Navegação
016	Cartões
017	Ocorreu um erro
018	Operação bem-sucedida
019	Atenção necessária
020	Informações
021	Processando...
022	InfoBar
023	Anel de progresso
024	Barra de progresso 60%
025	Processando...
026	Quatro recursos de progresso do Toast
027	Baixando...
028	Sincronizando...
029	Envio
030	Anel de progresso 40%
031	Enviando...
032	Barra de progresso indeterminada
033	Sincronizando dados...
034	Processando
035	Aguarde...
036	Modo de progresso do InfoBar
037	Quatro recursos de progresso do InfoBar
038	Sincronizando
039	Anel de progresso indeterminado
040	Barra de progresso
041	Modo de progresso do Toast
042	Download
043	Baixando arquivos...
044	Caminho do instalador DRY inválido
045	Demonstração DRY concluída: a entrega para instalação silenciosa foi simulada; nenhum arquivo foi baixado e nenhum instalador foi iniciado
046	DRY: simulando verificação de atualização...
047	DRY: download simulado<SP>
048	- Simular o progresso do download de 0% a 100%<NL>
049	- Simular a entrega para instalação silenciosa do Inno Setup sem criar arquivos nem iniciar programas
050	O modo DRY não abre páginas externas
051	DRY: download simulado concluído; entregando para instalação
052	- Mostrar a caixa de diálogo real de confirmação da atualização<NL>
053	Download DRY simulado em andamento
054	DRY: preparando download simulado
055	Token de download DRY inválido
056	DRY: falha na entrega para instalação
057	DRY: falha na entrega da instalação de slot duplo
058	DRY: preparação de slot duplo concluída; alternar automaticamente na próxima inicialização
059	DRY: preparando o slot inativo em segundo plano
060	DRY: versão simulada encontrada; aguardando confirmação
061	Demonstração DRY em andamento
062	## Atualização da demonstração DRY<NL><NL>
063	, aguardando confirmação
064	Demonstra verificação, confirmação, progresso do download, gravação em segundo plano no slot inativo e alternância na próxima inicialização; nunca acessa a rede, cria arquivos ou inicia um instalador.
065	Toast no canto inferior direito
066	2. Usar o UpdateDialog real para mostrar as notas e confirmar “Baixar e instalar”
067	Usar o Updater real injetado pela Gallery para verificar Releases; este modo pode acessar a rede e abrir a página da versão.
068	Última detecção:
069	3. Mostrar progresso de download indeterminado ou determinado com um Toast ou ProgressDialog
070	Os usuários veem caixas de diálogo reais e feedback de progresso, mas não ocorrem efeitos colaterais da instalação.
071	Modo Release real
072	Demonstração DRY de download e instalação
073	Versão atual:
074	Modo de demonstração DRY (simulação segura)
075	Última detecção: nenhuma
076	Fluxo de atualização
077	Simulando verificação...
078	A Gallery demonstra diretamente como o componente de fachada coordena o Updater, UpdateDialog e o apresentador de feedback substituível subjacentes.
079	Nova versão encontrada<SP>
