001	Biểu tượng
002	Đang tải các thành phần...
003	Nhãn
004	Đầu vào
005	Trình đơn
006	Vùng chứa
007	Tự động cập nhật
008	Băng chuyền
009	Hiệu ứng
010	Phản hồi
011	Biểu đồ
012	Nút
013	Đang tải
014	Cài đặt
015	Điều hướng
016	Thẻ
017	Đã xảy ra lỗi
018	Thao tác thành công
019	Cần chú ý
020	Thông tin
021	Đang xử lý...
022	InfoBar
023	Vòng tiến trình
024	Thanh tiến trình 60%
025	Đang xử lý...
026	Bốn tính năng tiến trình Toast
027	Đang tải xuống...
028	Đang đồng bộ...
029	Tải lên
030	Vòng tiến trình 40%
031	Đang tải lên...
032	Thanh tiến trình không xác định
033	Đang đồng bộ dữ liệu...
034	Đang xử lý
035	Vui lòng chờ...
036	Chế độ tiến trình InfoBar
037	Bốn tính năng tiến trình InfoBar
038	Đang đồng bộ
039	Vòng tiến trình không xác định
040	Thanh tiến trình
041	Chế độ tiến trình Toast
042	Tải xuống
043	Đang tải tệp xuống...
044	Đường dẫn trình cài đặt DRY không hợp lệ
045	Đã hoàn tất bản demo DRY: đã mô phỏng việc bàn giao cho cài đặt im lặng; không tải tệp nào và không khởi chạy trình cài đặt
046	DRY: đang mô phỏng kiểm tra cập nhật...
047	DRY: bản tải xuống mô phỏng<SP>
048	- Mô phỏng tiến trình tải xuống từ 0% đến 100%<NL>
049	- Mô phỏng việc bàn giao cài đặt im lặng Inno Setup mà không tạo tệp hoặc khởi chạy chương trình
050	Chế độ DRY không mở trang bên ngoài
051	DRY: đã hoàn tất tải xuống mô phỏng; đang bàn giao cho cài đặt
052	- Hiển thị hộp thoại xác nhận cập nhật thực tế<NL>
053	Đang tiến hành tải xuống mô phỏng DRY
054	DRY: đang chuẩn bị tải xuống mô phỏng
055	Mã tải xuống DRY không hợp lệ
056	DRY: bàn giao cài đặt thất bại
057	DRY: bàn giao cài đặt hai vùng thất bại
058	DRY: đã chuẩn bị xong hai vùng; tự động chuyển ở lần khởi chạy tiếp theo
059	DRY: đang chuẩn bị vùng không hoạt động trong nền
060	DRY: đã tìm thấy phiên bản mô phỏng; đang chờ xác nhận
061	Bản demo DRY đang chạy
062	## Cập nhật bản demo DRY<NL><NL>
063	, đang chờ xác nhận
064	Minh họa việc kiểm tra, xác nhận, tiến trình tải xuống, ghi nền vào vùng không hoạt động và chuyển đổi ở lần khởi chạy tiếp theo; không bao giờ truy cập mạng, tạo tệp hoặc khởi chạy trình cài đặt.
065	Toast góc dưới bên phải
066	2. Dùng UpdateDialog thực tế để hiển thị ghi chú và xác nhận “Tải xuống và cài đặt”
067	Dùng Updater thực tế do Gallery cung cấp để kiểm tra Releases; chế độ này có thể truy cập mạng và mở trang phát hành.
068	Phát hiện gần nhất:
069	3. Hiển thị tiến trình tải xuống xác định hoặc không xác định bằng Toast hoặc ProgressDialog
070	Người dùng thấy hộp thoại và phản hồi tiến trình thực tế, nhưng không phát sinh tác dụng phụ của cài đặt.
071	Chế độ Release thực tế
072	Bản demo tải xuống và cài đặt DRY
073	Phiên bản hiện tại:
074	Chế độ demo DRY (mô phỏng an toàn)
075	Phát hiện gần nhất: không có
076	Quy trình cập nhật
077	Đang mô phỏng kiểm tra...
078	Gallery minh họa trực tiếp cách thành phần mặt tiền điều phối Updater, UpdateDialog và bộ trình bày phản hồi có thể thay thế bên dưới.
079	Đã tìm thấy phiên bản mới<SP>
080	Bắt đầu bản demo DRY
081	Đã xác nhận tải xuống<SP>
082	Đang chuẩn bị trong nền...
083	1. Kiểm tra GitHub Releases và so sánh với phiên bản hiện tại
084	Nguồn demo:
085	2. Hiển thị ghi chú phát hành và hộp thoại xác nhận khi tìm thấy phiên bản mới
086	Kiểm tra cập nhật
087	Chưa cấu hình
088	4. Trong chế độ hai vùng, thay thế vùng không hoạt động trong nền và chuyển sang phiên bản mới ở lần khởi chạy tiếp theo
089	Đã là phiên bản mới nhất<SP>
090	Kho mã:
091	Không thể dùng chế độ thực tế: Gallery không cung cấp appUpdater
092	Chế độ thực tế: chưa kiểm tra
093	1. Mô phỏng kiểm tra và trả về một phiên bản demo
094	3. Dùng Toast hoặc ProgressDialog thực tế để tăng tiến trình mô phỏng lên 100%
095	Kiểm tra thất bại:
096	Chế độ DRY: đang chờ bắt đầu demo
097	4. Mô phỏng Inno Setup thay thế vùng không hoạt động trong nền; giữ phiên bản này chạy và chuyển ở lần khởi chạy tiếp theo
