001	Піктограми
002	Завантаження компонентів...
003	Мітки
004	Введення
005	Меню
006	Контейнери
007	Автоматичне оновлення
008	Карусель
009	Ефекти
010	Зворотний зв’язок
011	Діаграми
012	Кнопки
013	Завантаження
014	Налаштування
015	Навігація
016	Картки
017	Сталася помилка
018	Операцію виконано успішно
019	Потрібна увага
020	Інформація
021	Обробка...
022	InfoBar
023	Кільце прогресу
024	Індикатор прогресу 60%
025	Обробка...
026	Чотири функції прогресу Toast
027	Завантаження...
028	Синхронізація...
029	Вивантаження
030	Кільце прогресу 40%
031	Вивантаження...
032	Невизначений індикатор прогресу
033	Синхронізація даних...
034	Обробка
035	Зачекайте...
036	Режим прогресу InfoBar
037	Чотири функції прогресу InfoBar
038	Синхронізація
039	Невизначене кільце прогресу
040	Індикатор прогресу
041	Режим прогресу Toast
042	Завантаження
043	Завантаження файлів...
044	Недійсний шлях інсталятора DRY
045	Демонстрацію DRY завершено: змодельовано передавання тихого встановлення; файли не завантажувалися, інсталятор не запускався
046	DRY: моделювання перевірки оновлень...
047	DRY: змодельоване завантаження<SP>
048	- Змоделювати хід завантаження від 0% до 100%<NL>
049	- Змоделювати передавання тихого встановлення Inno Setup без створення файлів і запуску програм
050	Режим DRY не відкриває зовнішні сторінки
051	DRY: змодельоване завантаження завершено; передавання встановлення
052	- Показати справжній діалог підтвердження оновлення<NL>
053	Триває змодельоване завантаження DRY
054	DRY: підготовка змодельованого завантаження
055	Недійсний токен завантаження DRY
056	DRY: не вдалося передати встановлення
057	DRY: не вдалося передати встановлення у двослотовому режимі
058	DRY: підготовку двох слотів завершено; автоматичне перемикання під час наступного запуску
059	DRY: підготовка неактивного слота у фоновому режимі
060	DRY: знайдено змодельовану версію; очікування підтвердження
061	Триває демонстрація DRY
062	## Демонстраційне оновлення DRY<NL><NL>
063	, очікування підтвердження
064	Демонструє перевірку, підтвердження, хід завантаження, фоновий запис у неактивний слот і перемикання під час наступного запуску; ніколи не звертається до мережі, не створює файлів і не запускає інсталятор.
065	Toast унизу праворуч
066	2. Використати справжній UpdateDialog для показу приміток і підтвердження «Завантажити та встановити»
067	Використати справжній Updater, впроваджений Gallery, для перевірки Releases; цей режим може звертатися до мережі та відкривати сторінку випуску.
068	Востаннє виявлено:
069	3. Показати невизначений або визначений хід завантаження за допомогою Toast чи ProgressDialog
070	Користувачі бачать справжні діалоги та відгук про прогрес, але встановлення не має побічних ефектів.
071	Режим справжнього Release
072	Демонстрація DRY із завантаженням і встановленням
073	Поточна версія:
074	Демонстраційний режим DRY (безпечне моделювання)
075	Востаннє виявлено: нічого
076	Конвеєр оновлення
077	Моделювання перевірки...
078	Gallery безпосередньо демонструє, як фасадний компонент координує базові Updater, UpdateDialog і замінний засіб показу відгуку.
079	Знайдено нову версію<SP>
080	Запустити демонстрацію DRY
081	Завантаження підтверджено<SP>
082	Підготовка у фоновому режимі...
083	1. Перевірити GitHub Releases і порівняти з поточною версією
084	Джерело демонстрації:
085	2. Показати примітки до випуску та діалог підтвердження, коли знайдено нову версію
086	Перевірити оновлення
087	Не налаштовано
088	4. У двослотовому режимі замінити неактивний слот у фоновому режимі та перейти на нову версію під час наступного запуску
089	Уже актуальна версія<SP>
090	Репозиторій:
091	Справжній режим недоступний: Gallery не впровадила appUpdater
092	Справжній режим: ще не перевірено
093	1. Змоделювати перевірку та повернути демонстраційну версію
094	3. Використати справжній Toast або ProgressDialog, щоб довести змодельований прогрес до 100%
